台湾频道,#genre#
Thairath,http://000.hfr1107.top/tv/smt.php?id=thairath_pat
tpbs,http://000.hfr1107.top/tv/smt.php?id=tpbs_pat
Workpoint,http://000.hfr1107.top/tv/smt.php?id=workpoint_pat
Gmm Channel,http://000.hfr1107.top/tv/smt.php?id=gmmchannel_pat
Nation,http://000.hfr1107.top/tv/smt.php?id=nation_pat
Tnn24,http://000.hfr1107.top/tv/smt.php?id=tnn24_pat
Nbt,http://000.hfr1107.top/tv/smt.php?id=nbt_pat
New,http://000.hfr1107.top/tv/smt.php?id=new_pat
TPTV,http://000.hfr1107.top/tv/smt.php?id=tptv_pat

英国频道,#genre#
BBC 1,http://000.hfr1107.top/tv/smt.php?id=bbc1_antik
BBC 2,http://000.hfr1107.top/tv/smt.php?id=bbc2_antik
CBBC,http://000.hfr1107.top/tv/smt.php?id=cbbc_antik
More4,http://000.hfr1107.top/tv/smt.php?id=more4_antik
Freesports,http://000.hfr1107.top/tv/smt.php?id=freesports_antik
Pick TV,http://000.hfr1107.top/tv/smt.php?id=picktv_antik
itv 1,http://000.hfr1107.top/tv/smt.php?id=itv1_antik
itv 2,http://000.hfr1107.top/tv/smt.php?id=itv2_antik
Euronews,http://000.hfr1107.top/tv/smt.php?id=euronews_antik
Channel 4,http://000.hfr1107.top/tv/smt.php?id=channel4_antik
BBC World News,http://000.hfr1107.top/tv/smt.php?id=bbcworldnews_antik

越南频道,#genre#
ANTV,http://000.hfr1107.top/tv/smt.php?id=viet_antv
VTV 1,http://000.hfr1107.top/tv/smt.php?id=viet_vtv1
VTV 7,http://000.hfr1107.top/tv/smt.php?id=viet_vtv7
HTV 7,http://000.hfr1107.top/tv/smt.php?id=viet_htv7
HTV 9,http://000.hfr1107.top/tv/smt.php?id=viet_htv9
BPTV 2,http://000.hfr1107.top/tv/smt.php?id=viet_bptv2
BRT HD,http://000.hfr1107.top/tv/smt.php?id=viet_brt
Ca Mau TV,http://000.hfr1107.top/tv/smt.php?id=viet_camautv
Danang TV1 HD,http://000.hfr1107.top/tv/smt.php?id=viet_danangtv1
Danang TV2 HD,http://000.hfr1107.top/tv/smt.php?id=viet_danangtv2
HBTV HD,http://000.hfr1107.top/tv/smt.php?id=viet_hbtv
PTTH 1,http://000.hfr1107.top/tv/smt.php?id=viet_ptth1

韩国频道,#genre#
Arirang HD,http://000.hfr1107.top/tv/smt.php?id=arirang_korea
Yonhap News,http://000.hfr1107.top/tv/smt.php?id=yonhapnews_korea
CBS,http://000.hfr1107.top/tv/smt.php?id=cbs_korea
EBS 1,http://000.hfr1107.top/tv/smt.php?id=ebs1_korea
EBS2,http://000.hfr1107.top/tv/smt.php?id=ebs2_korea
