更新时间,#genre#
CCTV第一剧场,http://218.86.187.40:8188/rtp/238.255.2.25:5999
CCTV第一剧场,http://219.141.45.235:8188/rtp/238.255.2.25:5999
CCTV第一剧场,http://183.166.145.113:8688/rtp/238.1.79.63:4640
CCTV第一剧场,http://219.141.45.25:8188/rtp/238.255.2.25:5999
CCTV第一剧场,http://61.159.134.106:4022/rtp/238.255.2.25:5999
CCTV第一剧场,http://118.78.196.46:55555/rtp/226.0.2.221:9680
CCTV第一剧场,http://121.29.169.205:8888/rtp/239.253.93.138:6428
CCTV第一剧场,http://218.86.184.144:4022/rtp/238.255.2.25:5999
CCTV第一剧场,http://171.213.133.9:1880/udp/239.93.1.197:5140
CCTV第一剧场,http://175.8.129.208:4000/udp/239.76.254.49:9000
CCTV第一剧场,http://116.2.167.167:4010/rtp/232.0.0.29:1234
CCTV第一剧场,http://171.119.205.154:6000/rtp/226.0.2.221:9680
CCTV第一剧场,http://221.234.128.5:4022/rtp/239.69.1.74:10084
CCTV第一剧场,http://220.176.218.147:9000/udp/239.252.219.86:5140
CCTV第一剧场,http://218.8.87.96:4000/rtp/229.58.190.21:5000
CCTV第一剧场,http://106.59.3.132:55555/rtp/239.200.200.82:8004
CCTV第一剧场,http://171.213.211.24:4022/udp/239.93.1.197:5140
CCTV第一剧场,http://171.213.222.241:4022/udp/239.93.1.197:5140
CCTV第一剧场,http://171.213.155.138:9999/udp/239.93.1.197:5140
CCTV第一剧场,http://59.172.69.163:4022/rtp/239.69.1.74:10084
CCTV第一剧场,http://1.58.243.207:4000/rtp/229.58.190.21:5000
CCTV第一剧场,http://1.58.243.207:4001/rtp/229.58.190.21:5000
CCTV第一剧场,http://171.213.208.39:4022/udp/239.93.1.197:5140
CCTV第一剧场,http://183.162.205.235:4022/rtp/238.1.79.63:4640
CCTV第一剧场,http://1.58.246.23:4000/rtp/229.58.190.21:5000
CCTV第一剧场,http://1.58.246.23:4001/rtp/229.58.190.21:5000
CCTV第一剧场,http://111.224.75.87:4022/rtp/239.254.201.218:7258
CCTV第一剧场,http://106.116.241.211:9999/rtp/239.254.201.218:7258
CCTV第一剧场,http://117.57.37.24:4022/rtp/238.1.79.63:4640
CCTV第一剧场,http://183.166.144.138:8688/rtp/238.1.79.63:4640
